User_ID,Uplift_Score,Prob_Buy_Ad,Prob_Buy_NoAd,Real_Outcome,Real_Treatment
688595,0.3885760554571415,0.43617311263629405,0.04759705717915251,0,1
998860,0.3863439059411624,0.4685397046835655,0.08219579874240304,0,0
191088,0.36814198662377695,0.525634721859415,0.15749273523563803,1,0
758271,0.35264724207350245,0.39985174635465043,0.047204504281147974,0,1
137641,0.33995634244549267,0.38633789394174434,0.04638155149625166,0,0
664396,0.3385326432310367,0.4023779955374004,0.06384535230636368,0,1
930185,0.3323841149810285,0.4167784312194362,0.08439431623840772,0,0
886639,0.3178352466965587,0.37900226838320095,0.0611670216866422,0,0
296049,0.3013556744568553,0.4005877350225521,0.09923206056569686,0,0
993416,0.29804438328868305,0.375877305162047,0.07783292187336394,0,1
382017,0.2870393682492489,0.32878872703201023,0.04174935878276132,0,1
182844,0.28516849584593196,0.39020765252305994,0.10503915667712801,0,1
119169,0.28395005495589554,0.36641523124979586,0.08246517629390031,0,1
259476,0.2808001658280727,0.3148878728862866,0.034087707058213915,1,1
850865,0.2797296723046956,0.340385268660456,0.06065559635576043,1,0
389530,0.27689567392666276,0.357437427184506,0.08054175325784323,0,1
462130,0.2718790643833196,0.37284136922962297,0.10096230484630335,1,0
351995,0.26886864982645364,0.31745964180717295,0.04859099198071929,0,0
631849,0.26853263117120746,0.2952639954690637,0.026731364297856195,0,0
715458,0.265192646018401,0.30949157609204664,0.04429893007364569,0,0
745263,0.26275289050564066,0.38427401021238744,0.1215211197067468,0,1
384806,0.26164478728394713,0.32447851266713007,0.06283372538318295,0,0
721820,0.25709357554688983,0.4929450594603809,0.23585148391349112,0,0
433863,0.25583346800290024,0.2790034504629689,0.02316998246006867,0,0
271033,0.25447239111732944,0.28097313436337823,0.026500743246048765,0,1
590025,0.24702529326703715,0.26948171101611085,0.0224564177490737,0,1
288456,0.24690737381250494,0.40338426183203396,0.15647688801952903,0,1
389102,0.24671887573145815,0.30303550586357986,0.05631663013212171,0,0
299775,0.2463257308448898,0.29102014554632477,0.044694414701434974,0,1
237244,0.24401414078370603,0.32426095971766,0.08024681893395398,0,0
237478,0.24159489243195026,0.2772867700398284,0.035691877607878134,0,0
218413,0.24070886755445792,0.4264461596692407,0.1857372921147828,0,0
697135,0.23870227395891266,0.40059100239258705,0.16188872843367438,0,0
886708,0.23826342767952446,0.30562498581867703,0.06736155813915255,1,0
910208,0.2338863206459521,0.262155140441118,0.028268819795165885,0,1
924690,0.23000194433612656,0.2554214077114544,0.025419463375327835,0,1
679879,0.22919797016269994,0.3150847783968545,0.08588680823415458,0,0
182180,0.22876522855216874,0.3248289831418854,0.09606375458971668,0,1
785154,0.22799412182752749,0.2511247036925524,0.02313058186502492,0,0
556956,0.22681108414229492,0.32574009380716845,0.09892900966487353,1,0
202239,0.22524954458925345,0.28749766816084465,0.06224812357159122,0,0
148777,0.22499415201046924,0.28487870079095845,0.0598845487804892,0,0
239544,0.2197318818462863,0.2954717192339676,0.07573983738768128,0,0
871246,0.21470537416768903,0.24705026087097137,0.03234488670328233,0,0
904449,0.21266341796556973,0.2875180354551764,0.07485461748960667,1,0
757258,0.21136926008622978,0.3438348435899902,0.13246558350376045,1,1
369150,0.2110948175161606,0.28618925770130993,0.07509444018514932,0,1
534995,0.20937695941674217,0.23866199478054073,0.02928503536379855,0,1
969474,0.2092167483253603,0.3100390494558381,0.10082230113047781,0,1
651025,0.2079396291273224,0.35122250264408966,0.14328287351676727,0,0
417267,0.20711281376860774,0.24626249891586796,0.039149685147260214,0,0
245016,0.206443766139349,0.24820421021850408,0.041760444079155065,0,0
683417,0.20603832952136641,0.31985602360806525,0.11381769408669884,0,0
819064,0.20545383866109473,0.2720173662883916,0.06656352762729689,0,1
123236,0.2053860115070173,0.2616216324507986,0.05623562094378132,0,0
765418,0.20390246498488435,0.3208406879088339,0.11693822292394955,0,1
876665,0.2027681983639466,0.27425604701014444,0.07148784864619782,0,1
878883,0.20179583941950324,0.20971376244385606,0.007917923024352812,0,0
706123,0.19995541446322002,0.27591004097268096,0.07595462650946093,1,0
777623,0.19940211287337709,0.31726647563721505,0.11786436276383797,0,0
630836,0.1993956164241972,0.3344797466047719,0.13508413018057472,1,1
